Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
GENEST Florent - CAN - Canada Cup 1 - 2019 - Qualification 2,46.28,35,Men,-22.0,13.0,13.9,14.5,13.7,13.1,1.9,1.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
DAWSON Quinn - CAN - Canada Cup 2 - 2019 - Qualification 1,64.39,7,Men,0.0,18.0,16.5,15.9,15.7,15.8,4.8,4.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
LINTON Jessica - CAN - Canada Cup 2 - 2019 - Final 1,66.23,2,Women,0.0,14.8,14.9,16.6,14.4,15.0,7.0,7.1,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Final 1,0.0,
GOODISON Samuel - CAN - Canada Cup 2 - 2019 - Final 1,68.91,3,Men,0.0,16.6,16.5,16.6,15.7,17.1,8.6,8.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Final 1,0.0,
BESSEL Ben - CAN - Canada Cup 1 - 2019 - Qualification 1,56.31,35,Men,-22.0,14.3,13.1,15.2,13.6,14.2,7.5,7.4,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
ITO Miki - JPN - Canadian Selections 1 - 2019 - Final 1,72.37,3,Women,0.0,17.8,16.8,16.2,16.7,17.0,4.3,6.2,1,1,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,33.0
MYSKO Alex - CAN - Canadian Selections 1 - 2019 - Qualification 2,61.76,10,Men,0.0,15.7,16.0,14.9,15.5,15.5,5.4,5.7,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,17.0
DESAUTELS Mats - CAN - Canada Cup 1 - 2019 - Final 1,74.95,5,Men,-22.0,16.9,17.1,16.4,16.4,15.8,7.9,8.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
GANNON Daniel - CAN - Canada Cup 2 - 2019 - Qualification 2,49.47,3,Men,0.0,14.5,15.0,13.8,13.3,13.0,5.3,5.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
RICE Lewis - CAN - Canadian Selections 1 - 2019 - Qualification 1,50.49,30,Men,0.0,14.3,14.8,14.9,14.3,15.4,3.2,3.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,18.0
SPARROW Demitra - CAN - Canada Cup 2 - 2019 - Qualification 1,48.29,11,Women,0.0,12.5,14.4,12.3,13.9,14.3,5.7,5.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
CHALIFOUX Louis David - CAN - Canadian Selections 1 - 2019 - Final 1,40.12,19,Men,0.0,18.3,17.4,17.1,15.9,18.8,7.6,7.4,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,18.0
VAILLANCOURT Sandrine - CAN - Canadian Selections 1 - 2019 - Qualification 1,66.78,8,Women,0.0,15.6,14.6,13.1,15.7,15.6,6.2,6.5,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,19.0
ISHIDA Shoya - JPN - Canadian Selections 1 - 2019 - Qualification 1,60.06,21,Men,0.0,14.6,16.0,15.4,15.3,13.0,6.4,6.2,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,17.0
MAGA Joshua - CAN - Canadian Selections 1 - 2019 - Qualification 2,40.07,25,Men,0.0,14.6,15.6,14.0,14.1,15.8,4.4,4.7,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,18.0
