Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
CRESCIMANNO Sterling - USA - North American Cup 1 - 2016 - Qualification 1,73.74,9,Men,16.3,16.1,16.3,15.6,15.9,7.8,7.4,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,CRESCIMANNO Sterling - USA
HOFFMAN Zachary - CAN - North American Cup 3 - 2016 - Qualification 1,72.42,16,Men,15.8,16.1,15.3,16.2,15.3,8.6,8.1,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,HOFFMAN Zachary - CAN
LAVOIE Alexandre - CAN - North American Cup 4 - 2016 - Final 1,79.79,6,Men,16.5,17.8,15.8,17.0,17.0,8.2,8.6,Finals,2016,2016-North American Cup 4,Final 1,0.0,LAVOIE Alexandre - CAN
DUMAIS Laurent - CAN - North American Cup 4 - 2016 - Final 2,84.41,2,Men,17.4,17.4,17.3,17.8,17.9,9.0,8.6,Finals,2016,2016-North American Cup 4,Final 2,0.0,DUMAIS Laurent - CAN
KARIOTIS Jack - USA - North American Cup 2 - 2016 - Qualification,76.4,7,Men,17.7,16.8,17.0,17.4,16.5,7.0,7.8,Qualification,2016,2016-North American Cup 2,Qualification,11.2,KARIOTIS Jack - USA
FRENDEL Myles - USA - North American Cup 4 - 2016 - Qualification 1,44.84,49,Men,12.0,12.0,12.7,14.8,12.6,5.8,7.0,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,FRENDEL Myles - USA
SMITH Emerson - USA - North American Cup 2 - 2016 - Qualification,81.53,1,Men,18.0,17.4,16.9,17.9,17.0,8.2,7.8,Qualification,2016,2016-North American Cup 2,Qualification,11.2,SMITH Emerson - USA
LEMIEUX Simon - CAN - North American Cup 2 - 2016 - Qualification,34.15,41,Men,14.9,14.9,16.0,15.5,13.1,9.5,9.2,Qualification,2016,2016-North American Cup 2,Qualification,11.2,LEMIEUX Simon - CAN
PERSON Hayden - CAN - North American Cup 2 - 2016 - Qualification,23.01,50,Men,12.2,13.0,11.0,13.9,11.1,7.8,6.1,Qualification,2016,2016-North American Cup 2,Qualification,11.2,PERSON Hayden - CAN
DUFRESNE Gabriel - CAN - North American Cup 3 - 2016 - Qualification 1,71.84,17,Men,16.3,16.0,16.3,15.9,16.3,7.7,8.1,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,DUFRESNE Gabriel - CAN
LAVOIE Alexandre - CAN - North American Cup 4 - 2016 - Qualification 1,75.78,14,Men,16.0,16.1,15.1,18.0,16.8,7.8,8.5,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,LAVOIE Alexandre - CAN
LEGER Justin - CAN - North American Cup 3 - 2016 - Qualification 1,69.08,24,Men,15.9,15.0,16.4,15.2,15.4,6.1,5.0,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,LEGER Justin - CAN
ROBINSON Cameron - USA - North American Cup 3 - 2016 - Qualification 1,65.68,33,Men,14.7,16.5,14.7,14.1,14.4,7.6,7.9,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,ROBINSON Cameron - USA
PERRY Bruce - USA - North American Cup 1 - 2016 - Qualification 1,73.82,8,Men,17.6,16.5,17.1,16.4,15.5,7.6,6.1,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,PERRY Bruce - USA
GAGNON JOYAL Antoine - CAN - North American Cup 3 - 2016 - Qualification 1,28.7,52,Men,14.2,14.7,14.0,13.3,14.0,8.8,7.9,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,GAGNON JOYAL Antoine - CAN
TULLY Troy - USA - North American Cup 4 - 2016 - Final 1,83.4,3,Men,17.0,17.8,17.5,17.0,17.3,8.2,8.8,Finals,2016,2016-North American Cup 4,Final 1,0.0,TULLY Troy - USA
HEDRICK Joel - USA - North American Cup 1 - 2016 - Final 1,83.4,2,Men,18.1,18.1,18.5,18.2,18.2,9.0,8.4,Finals,2016,2016-North American Cup 1,Final 1,5.5,HEDRICK Joel - USA
KARIOTIS Jack - USA - North American Cup 2 - 2016 - Final 1,78.49,7,Men,17.7,17.0,17.2,18.3,17.4,6.8,7.5,Finals,2016,2016-North American Cup 2,Final 1,11.2,KARIOTIS Jack - USA
BOCKHAHN Carson - USA - North American Cup 2 - 2016 - Qualification,79.02,2,Men,17.4,16.3,17.3,17.2,17.4,6.8,5.9,Qualification,2016,2016-North American Cup 2,Qualification,11.2,BOCKHAHN Carson - USA
BOCKHAHN Carson - USA - North American Cup 4 - 2016 - Qualification 1,35.39,52,Men,16.0,14.8,15.9,16.0,15.3,6.3,6.9,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,BOCKHAHN Carson - USA
PAWLIK Brayden - CAN - North American Cup 1 - 2016 - Qualification 1,71.55,15,Men,16.1,16.3,15.6,16.0,15.7,7.4,7.0,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,PAWLIK Brayden - CAN
ROBINSON Cameron - USA - North American Cup 2 - 2016 - Qualification,71.55,17,Men,16.4,14.9,15.9,14.0,17.3,8.1,8.7,Qualification,2016,2016-North American Cup 2,Qualification,11.2,ROBINSON Cameron - USA
KAPRONCZAI Julian - CAN - North American Cup 3 - 2016 - Qualification 1,79.54,3,Men,17.8,17.5,16.2,16.5,15.4,7.1,7.3,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,KAPRONCZAI Julian - CAN
KELLY Brenden - CAN - North American Cup 2 - 2016 - Qualification,36.49,40,Men,14.8,14.0,15.0,15.9,14.0,7.3,7.9,Qualification,2016,2016-North American Cup 2,Qualification,11.2,KELLY Brenden - CAN
ANDRINGA Jesse - USA - North American Cup 4 - 2016 - Qualification 1,69.31,26,Men,15.0,16.2,16.2,15.3,18.0,6.6,6.0,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,ANDRINGA Jesse - USA
CLEMENT Davis - CAN - North American Cup 3 - 2016 - Final 1,74.43,13,Men,15.4,17.1,14.9,16.6,15.6,5.8,5.1,Finals,2016,2016-North American Cup 3,Final 1,0.0,CLEMENT Davis - CAN
GUO Xiangru - CHN - North American Cup 3 - 2016 - Qualification 1,66.71,30,Men,14.7,15.7,15.1,15.7,15.2,7.2,7.8,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,GUO Xiangru - CHN
REILLY Trevor - USA - North American Cup 1 - 2016 - Final 1,77.21,10,Men,16.2,17.0,17.8,16.5,17.1,7.4,7.3,Finals,2016,2016-North American Cup 1,Final 1,5.5,REILLY Trevor - USA
STUDLER Abe - USA - North American Cup 1 - 2016 - Final 1,74.94,12,Men,17.3,17.4,18.0,17.5,16.9,7.8,7.1,Finals,2016,2016-North American Cup 1,Final 1,5.5,STUDLER Abe - USA
