Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
GERKEN SCHOFIELD Makayla - GBR - World Cup 1 - 2019 - Qualification 1,66.28,20,Women,14.6,14.1,16.3,15.0,14.3,6.8,7.3,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,GERKEN SCHOFIELD Makayla - GBR
GIACCIO Olivia - USA - World Cup 5 - 2019 - Final 1,70.22,9,Women,15.0,14.1,14.7,15.2,14.8,6.5,8.1,Finals,2019,2019-World Cup 5,Final 1,0.0,GIACCIO Olivia - USA
GAGNON Sofiane - CAN - World Cup 5 - 2019 - Final 1,70.22,8,Women,15.2,15.4,14.9,15.4,15.0,6.5,6.4,Finals,2019,2019-World Cup 5,Final 1,0.0,GAGNON Sofiane - CAN
SCHWINGHAMMER Maia - CAN - World Cup 5 - 2019 - Qualification 1,67.71,14,Women,14.0,14.4,14.1,14.3,15.0,8.0,7.0,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,SCHWINGHAMMER Maia - CAN
TOMITAKA Hinako - JPN - World Cup 3 - 2019 - Final 1,69.78,12,Women,15.5,14.8,15.3,15.0,15.8,8.0,8.0,Finals,2019,2019-World Cup 3,Final 1,0.0,TOMITAKA Hinako - JPN
GERKEN SCHOFIELD Makayla - GBR - World Cup 7 - 2019 - Qualification 1,53.28,19,Women,15.4,14.0,12.4,12.2,13.1,5.4,5.3,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,GERKEN SCHOFIELD Makayla - GBR
KAUF Jaelin - USA - World Cup 2 - 2019 - Final 2,83.08,1,Women,18.1,18.1,17.6,17.7,17.8,7.9,8.0,Finals,2019,2019-World Cup 2,Final 2,0.0,KAUF Jaelin - USA
SUMIYOSHI Kisara - JPN - World Cup 2 - 2019 - Qualification 1,69.54,15,Women,14.2,15.0,16.0,16.0,15.0,7.0,6.7,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,SUMIYOSHI Kisara - JPN
GAGNON Sofiane - CAN - World Cup 3 - 2019 - Qualification 1,69.54,14,Women,15.7,16.7,15.8,16.0,15.2,7.8,7.9,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,GAGNON Sofiane - CAN
SOAR Hannah - USA - World Cup 6 - 2019 - Final 1,69.54,12,Women,15.0,15.3,13.6,15.1,15.2,6.0,6.2,Finals,2019,2019-World Cup 6,Final 1,0.0,SOAR Hannah - USA
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Final 2,82.97,1,Women,17.0,17.1,17.8,17.2,17.7,8.0,8.1,Finals,2019,2019-World Cup 6,Final 2,0.0,LAFFONT Perrine - FRA
KAUF Jaelin - USA - World Cup 1 - 2019 - Qualification 2,75.07,1,Women,16.2,16.2,16.6,15.9,15.7,7.8,7.8,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,KAUF Jaelin - USA
ITO Miki - JPN - World Cup 6 - 2019 - Final 1,67.95,15,Women,15.5,14.9,14.7,15.0,15.2,5.9,6.3,Finals,2019,2019-World Cup 6,Final 1,0.0,ITO Miki - JPN
GRASEMANN Laura - GER - World Cup 4 - 2019 - Qualification 1,64.39,17,Women,14.0,15.6,14.7,14.4,14.4,5.3,6.0,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,GRASEMANN Laura - GER
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Qualification 1,77.38,1,Women,16.1,17.0,16.8,15.0,16.8,6.9,7.3,Qualification,2019,2019-World Cup 6,Qualification 1,0.0,LAFFONT Perrine - FRA
LAFFONT Perrine - FRA - World Cup 2 - 2019 - Final 2,81.23,3,Women,17.5,17.2,16.9,16.8,17.4,7.9,7.8,Finals,2019,2019-World Cup 2,Final 2,0.0,LAFFONT Perrine - FRA
NING Qin - CHN - World Championships - 2019 - Qualification 2,1.27,19,Women,10.0,8.5,10.1,8.0,8.0,1.2,1.4,Qualification,2019,2019-World Championships,Qualification 2,0.0,NING Qin - CHN
GUELI Claudia - AUS - World Cup 3 - 2019 - Qualification 1,66.8,16,Women,15.0,14.1,15.0,15.5,13.9,8.0,8.2,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,GUELI Claudia - AUS
GALYSHEVA Yulia - KAZ - World Cup 7 - 2019 - Final 1,84.82,1,Women,16.4,17.1,16.8,17.9,18.0,9.4,9.2,Finals,2019,2019-World Cup 7,Final 1,0.0,GALYSHEVA Yulia - KAZ
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 2,68.39,9,Women,15.7,14.9,15.2,15.0,14.8,6.1,5.8,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,DZIEMIAN Nessa - USA
ANTHONY Jakara - AUS - World Cup 5 - 2019 - Qualification 1,77.35,1,Women,17.0,16.4,16.7,16.7,17.0,8.4,8.4,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,ANTHONY Jakara - AUS
ASH Sophie - AUS - World Cup 3 - 2019 - Qualification 1,58.59,24,Women,13.3,13.5,13.2,12.9,14.0,5.7,5.9,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,ASH Sophie - AUS
XIE Siqi - CHN - World Cup 2 - 2019 - Qualification 1,31.93,27,Women,12.0,13.8,10.2,10.3,11.5,4.0,3.7,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,XIE Siqi - CHN
ANTHONY Jakara - AUS - World Cup 1 - 2019 - Qualification 2,72.97,2,Women,16.5,16.7,16.0,16.0,16.1,8.0,8.1,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,ANTHONY Jakara - AUS
AMUNDSEN Aurora - NOR - World Championships - 2019 - Qualification 1,16.89,26,Women,15.2,14.1,13.2,14.7,15.9,0.6,0.5,Qualification,2019,2019-World Championships,Qualification 1,0.0,AMUNDSEN Aurora - NOR
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Final 2,78.76,1,Women,16.7,16.6,16.4,16.4,15.6,9.1,9.2,Finals,2019,2019-World Cup 4,Final 2,0.0,ANTHONY Jakara - AUS
LAFFONT Perrine - FRA - World Championships - 2019 - Final 2,78.7,3,Women,17.6,17.3,17.4,16.6,17.2,6.6,6.3,Finals,2019,2019-World Championships,Final 2,0.0,LAFFONT Perrine - FRA
HOSHINO Junko - JPN - World Cup 3 - 2019 - Final 1,72.37,10,Women,16.0,15.4,15.8,16.4,16.0,8.0,8.2,Finals,2019,2019-World Cup 3,Final 1,0.0,HOSHINO Junko - JPN
SCHWINGHAMMER Maia - CAN - World Cup 3 - 2019 - Final 1,72.37,11,Women,15.5,15.8,15.2,14.7,15.6,8.0,8.1,Finals,2019,2019-World Cup 3,Final 1,0.0,SCHWINGHAMMER Maia - CAN
SOAR Hannah - USA - World Cup 6 - 2019 - Qualification 1,62.59,15,Women,14.4,14.4,12.7,15.5,15.7,6.1,5.8,Qualification,2019,2019-World Cup 6,Qualification 1,0.0,SOAR Hannah - USA
SUMIYOSHI Kisara - JPN - World Cup 7 - 2019 - Qualification 1,74.95,8,Women,16.5,16.2,16.4,16.5,16.5,6.8,7.1,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,SUMIYOSHI Kisara - JPN
GRASEMANN Laura - GER - World Cup 5 - 2019 - Final 1,73.5,3,Women,15.0,15.2,14.7,15.0,15.1,5.6,6.2,Finals,2019,2019-World Cup 5,Final 1,0.0,GRASEMANN Laura - GER
GALYSHEVA Yulia - KAZ - World Cup 6 - 2019 - Final 2,76.92,3,Women,15.3,15.9,17.2,16.4,16.0,8.9,8.9,Finals,2019,2019-World Cup 6,Final 2,0.0,GALYSHEVA Yulia - KAZ
SUMIYOSHI Kisara - JPN - World Cup 6 - 2019 - Final 1,72.29,7,Women,15.8,15.8,14.7,15.5,15.6,7.6,6.8,Finals,2019,2019-World Cup 6,Final 1,0.0,SUMIYOSHI Kisara - JPN
JOHNSON Tess - USA - World Cup 4 - 2019 - Qualification 1,70.45,5,Women,15.1,15.3,14.9,14.7,15.2,8.1,8.3,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,JOHNSON Tess - USA
LAFFONT Perrine - FRA - World Cup 7 - 2019 - Final 2,79.11,2,Women,16.9,16.8,17.0,17.0,17.1,8.4,8.2,Finals,2019,2019-World Cup 7,Final 2,0.0,LAFFONT Perrine - FRA
AMUNDSEN Aurora - NOR - World Cup 5 - 2019 - Qualification 1,58.22,25,Women,13.9,13.3,13.2,14.0,14.0,4.2,5.0,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,AMUNDSEN Aurora - NOR
GIACCIO Olivia - USA - World Championships - 2019 - Qualification 1,21.71,25,Women,15.8,15.5,15.1,14.9,14.8,1.8,1.6,Qualification,2019,2019-World Championships,Qualification 1,0.0,GIACCIO Olivia - USA
SMIRNOVA Anastasiia - RUS - World Cup 4 - 2019 - Qualification 1,68.2,9,Women,14.4,15.0,13.8,15.8,15.3,7.1,7.3,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,SMIRNOVA Anastasiia - RUS
HOSHINO Junko - JPN - World Cup 5 - 2019 - Final 1,68.2,13,Women,15.2,14.2,15.0,14.9,14.9,7.7,7.9,Finals,2019,2019-World Cup 5,Final 1,0.0,HOSHINO Junko - JPN
AMRENOVA Ayaulym - KAZ - World Championships - 2019 - Qualification 2,44.53,11,Women,11.8,15.5,12.5,12.0,13.8,4.4,4.1,Qualification,2019,2019-World Championships,Qualification 2,0.0,AMRENOVA Ayaulym - KAZ
KAUF Jaelin - USA - World Cup 5 - 2019 - Final 1,71.23,6,Women,15.2,15.8,15.6,15.3,17.0,5.0,6.0,Finals,2019,2019-World Cup 5,Final 1,0.0,KAUF Jaelin - USA
DUFOUR LAPOINTE Chloe - CAN - World Cup 5 - 2019 - Qualification 1,75.26,3,Women,17.1,17.3,16.0,15.9,17.2,6.8,7.1,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,DUFOUR LAPOINTE Chloe - CAN
VOUTILAINEN Riikka - FIN - World Cup 1 - 2019 - Qualification 2,24.0,18,Women,12.8,12.5,12.9,9.9,13.0,5.0,5.5,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,VOUTILAINEN Riikka - FIN
SMIRNOVA Anastasiia - RUS - World Cup 2 - 2019 - Qualification 1,69.09,16,Women,16.0,15.5,15.5,16.8,16.5,4.0,4.0,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,SMIRNOVA Anastasiia - RUS
JOHNSON Tess - USA - World Cup 7 - 2019 - Final 1,74.12,9,Women,16.4,16.3,16.3,15.8,16.2,7.7,7.6,Finals,2019,2019-World Cup 7,Final 1,0.0,JOHNSON Tess - USA
TOMITAKA Hinako - JPN - World Cup 2 - 2019 - Final 1,68.56,11,Women,14.6,14.5,15.0,15.0,14.6,6.5,6.8,Finals,2019,2019-World Cup 2,Final 1,0.0,TOMITAKA Hinako - JPN
SCHWINGHAMMER Maia - CAN - World Championships - 2019 - Qualification 1,64.47,8,Women,15.5,16.5,14.7,16.2,14.5,5.2,5.5,Qualification,2019,2019-World Championships,Qualification 1,0.0,SCHWINGHAMMER Maia - CAN
JENSON Alex - USA - World Cup 7 - 2019 - Final 1,75.41,7,Women,15.8,16.0,15.7,16.0,15.6,6.8,6.7,Finals,2019,2019-World Cup 7,Final 1,0.0,JENSON Alex - USA
SMIRNOVA Anastasiia - RUS - World Cup 5 - 2019 - Qualification 1,62.19,22,Women,11.7,15.1,13.6,14.4,14.7,7.6,6.7,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,SMIRNOVA Anastasiia - RUS
GIACCIO Olivia - USA - World Cup 1 - 2019 - Qualification 1,67.55,18,Women,14.8,14.9,14.8,16.4,15.0,7.0,7.3,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,GIACCIO Olivia - USA
AMRENOVA Ayaulym - KAZ - World Cup 2 - 2019 - Qualification 1,16.34,28,Women,16.5,14.1,15.0,14.9,13.0,3.8,4.4,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,AMRENOVA Ayaulym - KAZ
ASH Sophie - AUS - World Championships - 2019 - Final 1,59.18,15,Women,14.2,15.4,14.4,15.3,14.0,5.4,5.8,Finals,2019,2019-World Championships,Final 1,0.0,ASH Sophie - AUS
DUFOUR LAPOINTE Justine - CAN - World Cup 1 - 2019 - Final 2,73.49,6,Women,15.9,16.0,16.2,16.6,16.2,6.4,6.2,Finals,2019,2019-World Cup 1,Final 2,0.0,DUFOUR LAPOINTE Justine - CAN
DUFOUR LAPOINTE Chloe - CAN - World Cup 3 - 2019 - Final 1,73.09,8,Women,17.0,16.3,16.0,16.0,15.9,8.0,7.3,Finals,2019,2019-World Cup 3,Final 1,0.0,DUFOUR LAPOINTE Chloe - CAN
SUMIYOSHI Kisara - JPN - World Cup 7 - 2019 - Final 1,70.85,13,Women,15.8,15.8,15.5,15.6,15.9,7.3,8.0,Finals,2019,2019-World Cup 7,Final 1,0.0,SUMIYOSHI Kisara - JPN
GAGNON Sofiane - CAN - World Championships - 2019 - Final 1,67.73,10,Women,15.9,16.3,16.0,16.4,15.5,4.8,5.8,Finals,2019,2019-World Championships,Final 1,0.0,GAGNON Sofiane - CAN
DUFOUR LAPOINTE Chloe - CAN - World Cup 1 - 2019 - Qualification 2,67.58,10,Women,15.4,15.1,14.4,14.4,15.5,7.4,7.2,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,DUFOUR LAPOINTE Chloe - CAN
JENSON Alex - USA - World Cup 6 - 2019 - Final 1,68.38,14,Women,13.5,12.9,14.9,15.1,15.2,7.5,7.6,Finals,2019,2019-World Cup 6,Final 1,0.0,JENSON Alex - USA
ANTHONY Jakara - AUS - World Cup 2 - 2019 - Qualification 1,83.74,2,Women,18.1,18.1,18.1,17.3,17.1,9.2,9.2,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,ANTHONY Jakara - AUS
JENSON Alex - USA - World Cup 5 - 2019 - Qualification 1,61.81,23,Women,14.0,14.2,14.3,14.1,13.9,2.8,2.9,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,JENSON Alex - USA
HOSHINO Junko - JPN - World Championships - 2019 - Qualification 1,39.06,21,Women,14.1,11.5,13.1,11.7,13.8,6.8,6.7,Qualification,2019,2019-World Championships,Qualification 1,0.0,HOSHINO Junko - JPN
SOAR Hannah - USA - World Cup 5 - 2019 - Qualification 1,68.33,12,Women,15.3,14.5,14.6,14.7,15.1,5.6,6.8,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,SOAR Hannah - USA
GIACCIO Olivia - USA - World Cup 1 - 2019 - Qualification 2,71.9,3,Women,15.9,14.5,15.5,15.2,15.5,6.9,7.4,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,GIACCIO Olivia - USA
WALLBERG Thea - SWE - World Championships - 2019 - Qualification 1,56.59,13,Women,13.6,14.0,13.8,14.5,14.6,4.2,4.4,Qualification,2019,2019-World Championships,Qualification 1,0.0,WALLBERG Thea - SWE
SEO Jee Won - KOR - World Cup 4 - 2019 - Qualification 1,59.43,22,Women,14.5,14.0,14.0,14.3,14.2,6.0,5.8,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,SEO Jee Won - KOR
RADWAY Kenzie - USA - World Cup 4 - 2019 - Qualification 1,55.17,29,Women,14.0,14.2,13.7,14.6,13.9,5.2,6.0,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,RADWAY Kenzie - USA
DUFOUR LAPOINTE Chloe - CAN - World Cup 7 - 2019 - Final 1,70.18,15,Women,15.9,16.2,15.6,16.0,16.4,4.8,5.0,Finals,2019,2019-World Cup 7,Final 1,0.0,DUFOUR LAPOINTE Chloe - CAN
LAFFONT Perrine - FRA - World Cup 7 - 2019 - Qualification 1,72.33,12,Women,16.6,17.2,16.2,16.4,15.9,7.5,7.3,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,LAFFONT Perrine - FRA
ANTHONY Jakara - AUS - World Cup 6 - 2019 - Final 1,76.12,4,Women,16.8,16.6,16.5,17.2,17.1,7.9,7.6,Finals,2019,2019-World Cup 6,Final 1,0.0,ANTHONY Jakara - AUS
TOMITAKA Hinako - JPN - World Cup 5 - 2019 - Qualification 1,65.71,16,Women,15.1,15.8,15.0,14.5,14.8,6.3,4.6,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,TOMITAKA Hinako - JPN
DUFOUR LAPOINTE Justine - CAN - World Cup 5 - 2019 - Final 2,73.67,3,Women,16.3,15.9,15.1,15.3,16.4,8.0,7.0,Finals,2019,2019-World Cup 5,Final 2,0.0,DUFOUR LAPOINTE Justine - CAN
GALYSHEVA Yulia - KAZ - World Cup 1 - 2019 - Final 2,81.48,2,Women,16.2,16.8,16.7,16.6,16.9,9.1,8.5,Finals,2019,2019-World Cup 1,Final 2,0.0,GALYSHEVA Yulia - KAZ
WERSEN Josefina - SWE - World Cup 5 - 2019 - Qualification 1,48.25,30,Women,13.6,12.6,12.3,12.3,11.4,3.0,5.2,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,WERSEN Josefina - SWE
GALYSHEVA Yulia - KAZ - World Cup 7 - 2019 - Qualification 1,77.34,2,Women,16.9,16.9,15.9,15.5,15.6,9.3,8.0,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,GALYSHEVA Yulia - KAZ
ANTHONY Jakara - AUS - World Cup 1 - 2019 - Final 1,76.35,6,Women,16.8,16.9,16.8,16.5,16.8,8.1,8.2,Finals,2019,2019-World Cup 1,Final 1,0.0,ANTHONY Jakara - AUS
PARK Sung Youn - KOR - World Cup 6 - 2019 - Qualification 1,12.57,25,Women,11.4,12.3,12.1,10.0,12.5,4.1,4.8,Qualification,2019,2019-World Cup 6,Qualification 1,0.0,PARK Sung Youn - KOR
DUFOUR LAPOINTE Chloe - CAN - World Cup 2 - 2019 - Final 2,72.79,5,Women,16.8,16.2,16.0,16.2,15.6,7.9,8.1,Finals,2019,2019-World Cup 2,Final 2,0.0,DUFOUR LAPOINTE Chloe - CAN
KAUF Jaelin - USA - World Cup 7 - 2019 - Final 1,80.15,4,Women,16.5,16.8,16.2,17.0,17.4,8.7,8.6,Finals,2019,2019-World Cup 7,Final 1,0.0,KAUF Jaelin - USA
HOSHINO Junko - JPN - World Cup 2 - 2019 - Final 1,77.04,5,Women,17.0,17.0,16.1,16.5,16.8,8.4,8.0,Finals,2019,2019-World Cup 2,Final 1,0.0,HOSHINO Junko - JPN
KAUF Jaelin - USA - World Cup 4 - 2019 - Final 1,74.15,5,Women,16.3,16.6,15.8,15.3,15.7,8.5,8.2,Finals,2019,2019-World Cup 4,Final 1,0.0,KAUF Jaelin - USA
SOAR Hannah - USA - World Cup 3 - 2019 - Qualification 1,57.48,25,Women,15.0,14.0,14.4,14.2,13.9,4.0,4.3,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,SOAR Hannah - USA
LAFFONT Perrine - FRA - World Cup 5 - 2019 - Qualification 1,76.9,2,Women,17.5,16.1,16.5,16.5,16.8,4.8,6.1,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,LAFFONT Perrine - FRA
DUFOUR LAPOINTE Justine - CAN - World Cup 1 - 2019 - Final 1,76.91,5,Women,16.4,16.5,16.7,17.1,17.0,7.7,7.4,Finals,2019,2019-World Cup 1,Final 1,0.0,DUFOUR LAPOINTE Justine - CAN
HOSHINO Junko - JPN - World Championships - 2019 - Final 1,68.47,9,Women,15.6,16.1,15.0,15.0,14.5,6.9,6.9,Finals,2019,2019-World Championships,Final 1,0.0,HOSHINO Junko - JPN
GERKEN SCHOFIELD Makayla - GBR - World Cup 4 - 2019 - Qualification 1,33.99,34,Women,12.2,12.6,14.0,12.2,14.3,3.2,4.0,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,GERKEN SCHOFIELD Makayla - GBR
DUFOUR LAPOINTE Justine - CAN - World Cup 6 - 2019 - Final 1,76.8,3,Women,16.3,16.5,16.8,17.0,16.8,6.1,5.8,Finals,2019,2019-World Cup 6,Final 1,0.0,DUFOUR LAPOINTE Justine - CAN
SUMIYOSHI Kisara - JPN - World Cup 2 - 2019 - Final 1,9.15,16,Women,14.0,9.5,9.0,4.1,10.0,5.1,5.3,Finals,2019,2019-World Cup 2,Final 1,0.0,SUMIYOSHI Kisara - JPN
TOMITAKA Hinako - JPN - World Cup 1 - 2019 - Qualification 2,69.18,8,Women,16.0,15.6,16.3,15.9,15.5,7.3,7.1,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,TOMITAKA Hinako - JPN
DUFOUR LAPOINTE Justine - CAN - World Cup 7 - 2019 - Final 1,81.68,2,Women,16.7,16.6,17.0,18.0,18.2,8.0,8.1,Finals,2019,2019-World Cup 7,Final 1,0.0,DUFOUR LAPOINTE Justine - CAN
SOAR Hannah - USA - World Cup 4 - 2019 - Qualification 1,64.37,18,Women,15.3,14.7,14.1,15.0,14.7,5.6,5.2,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,SOAR Hannah - USA
GRASEMANN Laura - GER - World Cup 2 - 2019 - Qualification 1,71.39,11,Women,15.9,16.5,15.8,16.9,16.6,5.5,5.9,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,GRASEMANN Laura - GER
GASPARINI Nicole - SUI - World Cup 4 - 2019 - Qualification 1,49.79,30,Women,13.9,14.0,13.6,13.2,13.8,5.3,4.9,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,GASPARINI Nicole - SUI
MA Zhuoni - CHN - World Cup 1 - 2019 - Qualification 1,34.54,28,Women,11.9,9.8,8.1,12.2,12.0,5.0,5.1,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,MA Zhuoni - CHN
DUFOUR LAPOINTE Justine - CAN - World Cup 6 - 2019 - Final 2,76.7,4,Women,16.1,16.3,16.8,16.9,16.9,8.0,7.8,Finals,2019,2019-World Cup 6,Final 2,0.0,DUFOUR LAPOINTE Justine - CAN
SCHWINGHAMMER Maia - CAN - World Cup 3 - 2019 - Qualification 1,68.51,15,Women,14.2,15.0,14.8,15.7,15.3,7.7,8.3,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,SCHWINGHAMMER Maia - CAN
GIACCIO Olivia - USA - World Cup 4 - 2019 - Qualification 1,58.17,23,Women,14.0,14.9,14.5,14.2,14.4,7.2,7.8,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,GIACCIO Olivia - USA
WANG Jin - CHN - World Cup 1 - 2019 - Qualification 1,42.39,27,Women,11.0,10.9,10.3,11.4,10.5,5.8,4.4,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,WANG Jin - CHN
GALYSHEVA Yulia - KAZ - World Cup 5 - 2019 - Final 1,45.48,16,Women,15.8,14.8,14.0,14.3,16.6,7.7,8.0,Finals,2019,2019-World Cup 5,Final 1,0.0,GALYSHEVA Yulia - KAZ
KAUF Jaelin - USA - World Cup 1 - 2019 - Final 2,74.05,5,Women,16.7,16.5,16.5,15.0,16.0,8.0,7.5,Finals,2019,2019-World Cup 1,Final 2,0.0,KAUF Jaelin - USA
JOHNSON Tess - USA - World Cup 3 - 2019 - Final 1,74.05,4,Women,16.5,16.5,15.8,15.6,17.1,8.2,8.3,Finals,2019,2019-World Cup 3,Final 1,0.0,JOHNSON Tess - USA
SMIRNOVA Anastasiia - RUS - World Cup 1 - 2019 - Qualification 2,70.63,4,Women,15.0,14.9,14.5,15.2,15.5,7.7,8.0,Qualification,2019,2019-World Cup 1,Qualification 2,0.0,SMIRNOVA Anastasiia - RUS
SMIRNOVA Anastasiia - RUS - World Championships - 2019 - Final 1,70.63,6,Women,16.5,16.1,14.9,16.6,15.9,7.5,7.9,Finals,2019,2019-World Championships,Final 1,0.0,SMIRNOVA Anastasiia - RUS
LAFFONT Perrine - FRA - World Cup 3 - 2019 - Final 2,77.96,2,Women,16.9,16.5,16.2,17.7,17.2,7.2,7.5,Finals,2019,2019-World Cup 3,Final 2,0.0,LAFFONT Perrine - FRA
SEO Jung Hwa - KOR - World Championships - 2019 - Final 1,34.46,17,Women,14.4,16.5,15.0,16.4,16.3,1.4,1.5,Finals,2019,2019-World Championships,Final 1,0.0,SEO Jung Hwa - KOR
GALYSHEVA Yulia - KAZ - World Championships - 2019 - Qualification 1,68.08,5,Women,15.6,17.0,14.3,15.6,16.0,8.2,7.9,Qualification,2019,2019-World Championships,Qualification 1,0.0,GALYSHEVA Yulia - KAZ
ANTHONY Jakara - AUS - World Championships - 2019 - Final 2,78.99,2,Women,17.3,17.1,17.3,18.0,17.3,7.2,7.1,Finals,2019,2019-World Championships,Final 2,0.0,ANTHONY Jakara - AUS
