Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
DUFOUR LAPOINTE Chloe - CAN - World Cup 4 - 2016 - Final 2,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,16.9,17.2,16.9,17.2,16.6,6.8,6.1,1,1,1,1,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 2,78.06,2
KARIOTIS Ali - USA - World Cup 3 - 2016 - Final 1,KARIOTIS Ali - USA,Women,25.0,USA,15.6,15.0,16.4,16.6,16.9,6.8,7.6,0,0,0,0,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,72.7,14
GALYSHEVA Yulia - KAZ - World Cup 3 - 2016 - Final 2,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,16.8,17.0,16.4,16.8,15.3,7.8,7.7,1,1,1,1,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 2,77.75,2
LAFFONT Perrine - FRA - World Cup 4 - 2016 - Final 1,LAFFONT Perrine - FRA,Women,22.0,FRA,16.8,18.1,17.6,17.3,18.1,6.2,6.1,1,1,1,1,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 1,79.67,1
MCCARGO Keaton - USA - World Cup 1 - 2016 - Final 1,MCCARGO Keaton - USA,Women,25.0,USA,16.4,16.5,14.5,15.9,15.6,5.1,5.2,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,71.68,15
RAKHIMOVA Regina - OAR - World Cup 4 - 2016 - Final 1,RAKHIMOVA Regina - OAR,Women,31.0,OAR,16.2,17.6,17.0,16.3,16.3,6.7,6.9,1,0,0,0,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 1,77.2,4
NAUDE Andi - CAN - World Cup 4 - 2016 - Final 1,NAUDE Andi - CAN,Women,24.0,CAN,16.8,16.9,16.9,16.8,16.8,6.9,6.6,1,0,1,0,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 1,77.02,5
GALYSHEVA Yulia - KAZ - World Cup 1 - 2016 - Final 2,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,16.0,14.4,13.7,15.8,16.7,7.8,8.1,1,1,1,1,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 2,76.76,5
LAFFONT Perrine - FRA - World Cup 2 - 2016 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,15.7,15.2,15.9,15.4,16.0,7.2,7.6,1,1,1,1,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 2,73.78,4
SEO Jung Hwa - KOR - World Cup 3 - 2016 - Final 1,SEO Jung Hwa - KOR,Women,30.0,KOR,16.8,16.1,16.0,17.0,17.0,6.1,6.9,0,0,0,0,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,74.26,10
DZIEMIAN Nessa - USA - World Cup 3 - 2016 - Final 1,DZIEMIAN Nessa - USA,Women,26.0,USA,14.5,14.7,14.1,15.4,14.2,6.2,6.0,0,0,0,0,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,47.91,15
DUFOUR LAPOINTE Chloe - CAN - World Cup 4 - 2016 - Final 1,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,16.8,17.9,17.0,16.7,18.0,6.7,6.0,1,1,1,1,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 1,79.06,2
ROBICHAUD Audrey - CAN - World Cup 2 - 2016 - Final 1,ROBICHAUD Audrey - CAN,Women,32.0,CAN,16.2,16.2,16.0,15.8,15.6,8.0,7.9,0,0,0,0,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 1,74.17,3
DUFOUR LAPOINTE Justine - CAN - World Cup 2 - 2016 - Final 2,DUFOUR LAPOINTE Justine - CAN,Women,26.0,CAN,16.2,16.3,16.3,16.2,16.1,7.5,8.2,1,1,1,1,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 2,77.24,2
KAUF Jaelin - USA - World Cup 3 - 2016 - Final 2,KAUF Jaelin - USA,Women,24.0,USA,16.9,18.5,17.4,17.3,16.6,7.4,7.4,1,0,0,0,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 2,69.84,6
DUFOUR LAPOINTE Maxime - CAN - World Cup 2 - 2016 - Final 2,DUFOUR LAPOINTE Maxime - CAN,Women,31.0,CAN,14.5,15.4,15.3,14.8,15.8,6.6,7.1,1,0,0,0,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 2,71.66,6
LAFFONT Perrine - FRA - World Cup 1 - 2016 - Final 1,LAFFONT Perrine - FRA,Women,22.0,FRA,17.2,17.0,16.9,17.5,17.6,7.5,7.7,1,1,1,1,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,82.13,5
DUFOUR LAPOINTE Maxime - CAN - World Cup 1 - 2016 - Final 1,DUFOUR LAPOINTE Maxime - CAN,Women,31.0,CAN,16.8,17.4,17.6,16.9,17.5,7.1,7.6,1,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,82.13,4
DUFOUR LAPOINTE Chloe - CAN - World Cup 1 - 2016 - Final 1,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,17.2,17.4,17.7,17.8,16.6,8.4,8.1,1,1,1,1,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,83.5,2
