Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
BEAUREGARD Ian - USA - North American Cup 1 - 2019 - Final 1,BEAUREGARD Ian - USA,Men,21.0,USA,16.7,18.2,17.5,16.5,17.2,8.9,9.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,79.17,6
SUGIMOTO Kosuke - JPN - North American Cup 2 - 2019 - Final 1,SUGIMOTO Kosuke - JPN,Men,26.0,JPN,16.9,18.0,18.0,17.1,17.0,8.7,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,79.17,12
HEIMS Kalman - USA - North American Cup 2 - 2019 - Final 2,HEIMS Kalman - USA,Men,20.0,USA,17.9,18.4,18.2,18.1,17.9,8.0,7.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,82.6,3
LEWIS Alex - USA - North American Cup 1 - 2019 - Final 1,LEWIS Alex - USA,Men,21.0,USA,17.4,18.1,17.2,16.3,17.1,5.4,6.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,75.66,13
VAILLANCOURT Elliot - CAN - North American Cup 1 - 2019 - Final 1,VAILLANCOURT Elliot - CAN,Men,21.0,CAN,17.4,17.8,16.8,16.5,16.9,8.8,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,77.02,10
BARNDT Karsten - USA - North American Cup 2 - 2019 - Final 1,BARNDT Karsten - USA,Men,20.0,USA,16.4,17.6,16.3,16.5,16.5,7.0,7.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,41.78,15
PAGE Nick - USA - North American Cup 2 - 2019 - Final 1,PAGE Nick - USA,Men,18.0,USA,17.7,18.0,17.6,17.6,17.3,9.0,8.7,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,83.51,3
MATSUDA So - JPN - North American Cup 1 - 2019 - Final 1,MATSUDA So - JPN,Men,21.0,JPN,17.6,18.2,16.9,17.5,17.7,8.2,8.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,79.61,4
VAILLANCOURT Elliot - CAN - North American Cup 2 - 2019 - Final 1,VAILLANCOURT Elliot - CAN,Men,21.0,CAN,17.6,18.2,17.4,17.6,17.5,8.3,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,81.19,9
SUGIMOTO Kosuke - JPN - North American Cup 1 - 2018 - Final 1,SUGIMOTO Kosuke - JPN,Men,26.0,JPN,17.6,17.8,17.8,17.4,18.3,5.8,7.0,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,80.13,6
DUFRESNE Gabriel - CAN - North American Cup 2 - 2018 - Final 2,DUFRESNE Gabriel - CAN,Men,24.0,CAN,19.3,18.9,18.6,17.9,18.7,7.6,7.1,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,76.85,4
ANTKIEWICZ Wyatt - USA - North American Cup 3 - 2018 - Final 1,ANTKIEWICZ Wyatt - USA,Men,20.0,USA,17.6,17.9,18.4,18.1,18.8,8.2,8.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,83.08,7
