Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
GRAHAM Matt - AUS - World Cup 1 - 2019 - Qualification 1,GRAHAM Matt - AUS,Men,26.0,AUS,17.6,17.0,17.3,16.9,16.7,8.8,8.1,1,1,1,1,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,78.47,8
HARA Daichi - JPN - World Cup 1 - 2019 - Final 1,HARA Daichi - JPN,Men,23.0,JPN,17.5,17.3,17.7,17.4,17.6,7.0,8.0,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,78.47,10
MASYRA Oleh - UKR - World Championships - 2019 - Qualification 2,MASYRA Oleh - UKR,Men,24.0,UKR,13.7,13.1,11.5,12.1,13.5,4.8,5.0,0,0,0,0,0.0,-6.0,0.0,2019,2019-World Championships,Qualification 2,38.33,21
FUJIKI Goshin - JPN - World Championships - 2019 - Qualification 1,FUJIKI Goshin - JPN,Men,23.0,JPN,16.3,16.4,16.3,16.1,15.7,7.7,6.5,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 1,70.38,19
MAKHNEV Andrei - RUS - World Cup 1 - 2019 - Qualification 1,MAKHNEV Andrei - RUS,Men,23.0,RUS,16.7,16.7,16.7,17.4,16.5,8.5,8.2,0,0,0,0,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,76.85,9
DUFRESNE Gabriel - CAN - World Cup 2 - 2019 - Qualification 1,DUFRESNE Gabriel - CAN,Men,24.0,CAN,15.7,15.5,16.0,15.6,15.5,8.6,9.2,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,75.94,18
WALCZYK Dylan - USA - World Cup 4 - 2019 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,16.3,15.7,15.7,16.5,15.7,6.8,6.8,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,75.94,10
GERKEN SCHOFIELD Makayla - GBR - World Cup 7 - 2019 - Qualification 1,GERKEN SCHOFIELD Makayla - GBR,Women,21.0,GBR,15.4,14.0,12.4,12.2,13.1,5.4,5.3,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Qualification 1,53.28,19
KAUF Jaelin - USA - World Cup 2 - 2019 - Final 2,KAUF Jaelin - USA,Women,24.0,USA,18.1,18.1,17.6,17.7,17.8,7.9,8.0,1,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 2,83.08,1
SUMIYOSHI Kisara - JPN - World Cup 2 - 2019 - Qualification 1,SUMIYOSHI Kisara - JPN,Women,20.0,JPN,14.2,15.0,16.0,16.0,15.0,7.0,6.7,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,69.54,15
GAGNON Sofiane - CAN - World Cup 3 - 2019 - Qualification 1,GAGNON Sofiane - CAN,Women,21.0,CAN,15.7,16.7,15.8,16.0,15.2,7.8,7.9,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,69.54,14
SOAR Hannah - USA - World Cup 6 - 2019 - Final 1,SOAR Hannah - USA,Women,21.0,USA,15.0,15.3,13.6,15.1,15.2,6.0,6.2,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,69.54,12
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,17.0,17.1,17.8,17.2,17.7,8.0,8.1,1,1,1,1,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,82.97,1
GRAHAM Matt - AUS - World Championships - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,17.9,17.1,17.8,18.0,17.4,8.2,7.8,1,1,1,1,-1.0,-9.0,0.0,2019,2019-World Championships,Final 1,82.97,2
GERKEN SCHOFIELD Thomas - GBR - World Cup 6 - 2019 - Qualification 1,GERKEN SCHOFIELD Thomas - GBR,Men,22.0,GBR,15.4,15.3,15.2,15.8,15.6,6.7,7.4,0,0,0,0,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,73.99,16
ESCOBAR Jules - FRA - World Cup 5 - 2019 - Qualification 1,ESCOBAR Jules - FRA,Men,26.0,FRA,16.2,16.4,16.6,17.1,16.1,8.7,7.8,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,73.99,11
ELOFSSON Oskar - SWE - World Cup 4 - 2019 - Qualification 1,ELOFSSON Oskar - SWE,Men,22.0,SWE,16.2,15.9,14.9,15.4,15.5,7.3,7.5,0,0,0,0,-4.0,-18.0,0.0,2019,2019-World Cup 4,Qualification 1,71.14,29
